Categoría,Servicio,Duración,Precio (COP),Descripción
Manicura Estética,Manicura Limpieza,30 min,25000,Mantén tus uñas y cutículas impecables con un acabado natural
Manicura Estética,Manicura Semi-Hombre,50 min,35000,Manos pulcras con un acabado discreto y profesional
Manicura Estética,Manicura Semipermanente - Un Tono,75 min,50000,Color vibrante y brillo impecable que dura semanas sin preocupaciones
Manicura Estética,Manicura Semipermanente - Con Diseño,90 min,60000,Diseños personalizados con colores vibrantes que duran semanas
Gel/Polygel Manos,Forrado en Gel,90-120 min,85000,Refuerza tu uña natural con una cubierta protectora de gel de larga duración
Gel/Polygel Manos,Press On + Semi,120-150 min,100000,Manicura de alta durabilidad con acabado impecable y diseño personalizado
Gel/Polygel Manos,Polygel Esculpido (hasta #3) + Semi,120-150 min,120000,Transforma tus uñas con longitud fuerza y acabado semipermanente
Gel/Polygel Manos,Forrado en Polygel + Semi,120-150 min,110000,Refuerza tu uña existente con polygel y acabado semipermanente
Gel/Polygel Manos,Retoque Polygel + Semi,120-150 min,100000,Mantén tu manicura perfecta cada 20 días con un retoque profesional
Servicios Adicionales Manos,Retiro Semi / Rubber / Dipping,15 min,15000,Retiro de esmalte semipermanente rubber o dipping
Servicios Adicionales Manos,Retiro Polygel / Press On,25 min,20000,Retiro de sistemas polygel o press on
Servicios Adicionales Manos,Reparación Uña Polygel,Por uña,10000,Reparación de una sola uña en polygel
Servicios Adicionales Manos,Cambio de Color,Incluido,35000,Cambio de color en manicura existente
Pedicura Estética,Pedicura Estética - Solo Limpieza,40 min,25000,Cuidado básico que refresca y mantiene tus pies pulcros y saludables
Pedicura Estética,Pedicura Estética Semipermanente,75 min,50000,Color impecable y brillo duradero en tus pies por semanas
Servicios Adicionales Pies,Pedi Spa,20 min,30000,Tratamiento de relajación y spa para pies
Servicios Adicionales Pies,Reparación Uña Polygel (Pie),10 min,10000,Reparación de una sola uña en polygel en pie
Servicios Adicionales Pies,Terapia Plantar (Callosidades),20 min,25000,Eliminación de callosidades y suavización de la planta de pies
Pedicura Clínica,Onicocriptosis (Uña Encarnada),60 min,80000,Tratamiento especializado y alivio de uñas encarnadas con técnicas clínicas
Pedicura Clínica,Onicomadesis / Onicolisis,60 min,80000,Tratamiento profesional para desprendimiento de uñas y patologías relacionadas
Pedicura Clínica,Quiropodias (Onicomicosis Distrofias),Según diagnóstico,Según diagnóstico,Tratamiento especializado para hongos y distrofias. Controles mensuales: $80.000
